marker_id,paper_id,effect_name,subtype
6,"Bean W. et al., 1989",Increased resistance to amantadine,H5N2
6,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N1
6,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N2
6,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N1
6,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N2
6,"Abed Y. et al., 2005",Increased resistance to amantadine,H5N1
6,"Abed Y. et al., 2005",Increased resistance to amantadine,H5N2
6,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
6,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N2
7,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N1
7,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N2
7,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
7,"Bean W. et al., 1989",Increased resistance to amantadine,H5N2
7,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N1
7,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N2
7,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N1
7,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N2
7,"Abed Y. et al., 2005",Increased resistance to amantadine,H5N1
7,"Abed Y. et al., 2005",Increased resistance to amantadine,H5N2
7,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
7,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N2
8,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N2
8,"Suttie A. et al., 2019",Increased resistance to amantadine,H7N2
8,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
8,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N2
8,"Suttie A. et al., 2019",Increased resistance to rimantadine,H7N2
9,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N1
9,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N2
9,"Cheung C. et al., 2006",Increased resistance to amantadine,H7N2
9,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N1
9,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N2
9,"Cheung C. et al., 2006",Increased resistance to rimantadine,H7N2
9,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
9,"Bean W. et al., 1989",Increased resistance to amantadine,H5N2
9,"Bean W. et al., 1989",Increased resistance to amantadine,H7N2
9,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
9,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N2
9,"Bean W. et al., 1989",Increased resistance to rimantadine,H7N2
9,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N1
9,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N2
9,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H7N2
9,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N1
9,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N2
9,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H7N2
9,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
9,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N2
9,"Suttie A. et al., 2019",Increased resistance to amantadine,H7N2
9,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
9,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N2
9,"Suttie A. et al., 2019",Increased resistance to rimantadine,H7N2
10,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N1
10,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N2
10,"Cheung C. et al., 2006",Increased resistance to amantadine,H7N2
10,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N1
10,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N2
10,"Cheung C. et al., 2006",Increased resistance to rimantadine,H7N2
10,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
10,"Bean W. et al., 1989",Increased resistance to amantadine,H5N2
10,"Bean W. et al., 1989",Increased resistance to amantadine,H7N2
10,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
10,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N2
10,"Bean W. et al., 1989",Increased resistance to rimantadine,H7N2
10,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N1
10,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N2
10,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H7N2
10,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N1
10,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N2
10,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H7N2
10,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
10,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N2
10,"Suttie A. et al., 2019",Increased resistance to amantadine,H7N2
10,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
10,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N2
10,"Suttie A. et al., 2019",Increased resistance to rimantadine,H7N2
11,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N1
11,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N2
11,"Lan Y. et al., 2010",Increased resistance to amantadine,H9N2
11,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N1
11,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N2
11,"Lan Y. et al., 2010",Increased resistance to rimantadine,H9N2
11,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N1
11,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N2
11,"Cheung C. et al., 2006",Increased resistance to amantadine,H9N2
11,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N1
11,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N2
11,"Cheung C. et al., 2006",Increased resistance to rimantadine,H9N2
11,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
11,"Bean W. et al., 1989",Increased resistance to amantadine,H5N2
11,"Bean W. et al., 1989",Increased resistance to amantadine,H9N2
11,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
11,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N2
11,"Bean W. et al., 1989",Increased resistance to rimantadine,H9N2
11,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N1
11,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N2
11,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H9N2
11,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N1
11,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N2
11,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H9N2
11,"He G. et al., 2008",Increased resistance to amantadine,H5N1
11,"He G. et al., 2008",Increased resistance to amantadine,H5N2
11,"He G. et al., 2008",Increased resistance to amantadine,H9N2
11,"He G. et al., 2008",Increased resistance to rimantadine,H5N1
11,"He G. et al., 2008",Increased resistance to rimantadine,H5N2
11,"He G. et al., 2008",Increased resistance to rimantadine,H9N2
11,"Puthavathana P. et al., 2005",Increased resistance to amantadine,H5N1
11,"Puthavathana P. et al., 2005",Increased resistance to amantadine,H5N2
11,"Puthavathana P. et al., 2005",Increased resistance to amantadine,H9N2
11,"Puthavathana P. et al., 2005",Increased resistance to rimantadine,H5N1
11,"Puthavathana P. et al., 2005",Increased resistance to rimantadine,H5N2
11,"Puthavathana P. et al., 2005",Increased resistance to rimantadine,H9N2
11,"Buranathai C. et al., 2007",Increased resistance to amantadine,H5N1
11,"Buranathai C. et al., 2007",Increased resistance to amantadine,H5N2
11,"Buranathai C. et al., 2007",Increased resistance to amantadine,H9N2
11,"Buranathai C. et al., 2007",Increased resistance to rimantadine,H5N1
11,"Buranathai C. et al., 2007",Increased resistance to rimantadine,H5N2
11,"Buranathai C. et al., 2007",Increased resistance to rimantadine,H9N2
11,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
11,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N2
11,"Suttie A. et al., 2019",Increased resistance to amantadine,H9N2
11,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
11,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N2
11,"Suttie A. et al., 2019",Increased resistance to rimantadine,H9N2
12,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N1
12,"Lan Y. et al., 2010",Increased resistance to amantadine,H5N2
12,"Lan Y. et al., 2010",Increased resistance to amantadine,H9N2
12,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N1
12,"Lan Y. et al., 2010",Increased resistance to rimantadine,H5N2
12,"Lan Y. et al., 2010",Increased resistance to rimantadine,H9N2
12,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N1
12,"Cheung C. et al., 2006",Increased resistance to amantadine,H5N2
12,"Cheung C. et al., 2006",Increased resistance to amantadine,H9N2
12,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N1
12,"Cheung C. et al., 2006",Increased resistance to rimantadine,H5N2
12,"Cheung C. et al., 2006",Increased resistance to rimantadine,H9N2
12,"Bean W. et al., 1989",Increased resistance to amantadine,H5N1
12,"Bean W. et al., 1989",Increased resistance to amantadine,H5N2
12,"Bean W. et al., 1989",Increased resistance to amantadine,H9N2
12,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N1
12,"Bean W. et al., 1989",Increased resistance to rimantadine,H5N2
12,"Bean W. et al., 1989",Increased resistance to rimantadine,H9N2
12,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N1
12,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H5N2
12,"Ilyushina N. et al., 2005",Increased resistance to amantadine,H9N2
12,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N1
12,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H5N2
12,"Ilyushina N. et al., 2005",Increased resistance to rimantadine,H9N2
12,"He G. et al., 2008",Increased resistance to amantadine,H5N1
12,"He G. et al., 2008",Increased resistance to amantadine,H5N2
12,"He G. et al., 2008",Increased resistance to amantadine,H9N2
12,"He G. et al., 2008",Increased resistance to rimantadine,H5N1
12,"He G. et al., 2008",Increased resistance to rimantadine,H5N2
12,"He G. et al., 2008",Increased resistance to rimantadine,H9N2
12,"Puthavathana P. et al., 2005",Increased resistance to amantadine,H5N1
12,"Puthavathana P. et al., 2005",Increased resistance to amantadine,H5N2
12,"Puthavathana P. et al., 2005",Increased resistance to amantadine,H9N2
12,"Puthavathana P. et al., 2005",Increased resistance to rimantadine,H5N1
12,"Puthavathana P. et al., 2005",Increased resistance to rimantadine,H5N2
12,"Puthavathana P. et al., 2005",Increased resistance to rimantadine,H9N2
12,"Buranathai C. et al., 2007",Increased resistance to amantadine,H5N1
12,"Buranathai C. et al., 2007",Increased resistance to amantadine,H5N2
12,"Buranathai C. et al., 2007",Increased resistance to amantadine,H9N2
12,"Buranathai C. et al., 2007",Increased resistance to rimantadine,H5N1
12,"Buranathai C. et al., 2007",Increased resistance to rimantadine,H5N2
12,"Buranathai C. et al., 2007",Increased resistance to rimantadine,H9N2
12,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
12,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N2
12,"Suttie A. et al., 2019",Increased resistance to amantadine,H9N2
12,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
12,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N2
12,"Suttie A. et al., 2019",Increased resistance to rimantadine,H9N2
13,"Abed Y. et al., 2005",Increased resistance to amantadine,H5N1
13,"Abed Y. et al., 2005",Increased resistance to rimantadine,H5N1
13,"Suttie A. et al., 2019",Increased resistance to amantadine,H5N1
13,"Suttie A. et al., 2019",Increased resistance to rimantadine,H5N1
14,"Jiao P. et al., 2008",Increased virulence in mice,H5N1
14,"Jiao P. et al., 2008",Decreased antiviral response in mice,H5N1
14,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
14,"Suttie A. et al., 2019",Decreased antiviral response in mice,H5N1
15,"Kanrai P. et al., 2016",Enhanced replication in mammalian cells,H7N1 backbone with H5N1 NS
15,"Kanrai P. et al., 2016",Enhanced pathogenicity in mice,H7N1 backbone with H5N1 NS
15,"Suttie A. et al., 2019",Enhanced replication in mammalian cells,H7N1 backbone with H5N1 NS
15,"Suttie A. et al., 2019",Enhanced pathogenicity in mice,H7N1 backbone with H5N1 NS
16,"Wang B. et al., 2017",Decreased replication in mammalian cells,H1N1 backbone with H5N1 NS
16,"Wang B. et al., 2017",Enhanced interferon response,H1N1 backbone with H5N1 NS
16,"Suttie A. et al., 2019",Decreased replication in mammalian cells,H1N1 backbone with H5N1 NS
16,"Suttie A. et al., 2019",Enhanced interferon response,H1N1 backbone with H5N1 NS
17,"Seo S. et al., 2002",Increased virulence in mice,H1N1 backbone with H5N1 NS
17,"Seo S. et al., 2002",Increased virulence in swine,H1N1 backbone with H5N1 NS
17,"Lipatov A. et al., 2005",Increased virulence in mice,H1N1 backbone with H5N1 NS
17,"Lipatov A. et al., 2005",Increased virulence in swine,H1N1 backbone with H5N1 NS
17,"Suttie A. et al., 2019",Increased virulence in mice,H1N1 backbone with H5N1 NS
17,"Suttie A. et al., 2019",Increased virulence in swine,H1N1 backbone with H5N1 NS
17,"Long J. et al., 2008",Increased virulence in mice,"H1N1 backbone with H5N1 HA, NA and NS"
17,"Long J. et al., 2008",Increased virulence in chickens,"H1N1 backbone with H5N1 HA, NA and NS"
17,"Suttie A. et al., 2019",Increased virulence in mice,"H1N1 backbone with H5N1 HA, NA and NS"
17,"Suttie A. et al., 2019",Increased virulence in chickens,"H1N1 backbone with H5N1 HA, NA and NS"
19,"Ayllon J. et al., 2014",Increased viral replication in mammalian cells,H1N1 with all internal genes from H7N9
19,"Ayllon J. et al., 2014",Increased virulence in mice,H1N1 with all internal genes from H7N9
19,"Suttie A. et al., 2019",Increased viral replication in mammalian cells,H1N1 with all internal genes from H7N9
19,"Suttie A. et al., 2019",Increased virulence in mice,H1N1 with all internal genes from H7N9
20,"Li J. et al., 2018",Increased viral replication in mammalian cells,H5N1
20,"Li J. et al., 2018",Decreased interferon response,H5N1
20,"Suttie A. et al., 2019",Increased viral replication in mammalian cells,H5N1
20,"Suttie A. et al., 2019",Decreased interferon response,H5N1
21,"Li Z. et al., 2006",Increased virulence in chickens,H5N1
21,"Li Z. et al., 2006",Decreased interferon response in chickens,H5N1
21,"Suttie A. et al., 2019",Increased virulence in chickens,H5N1
21,"Suttie A. et al., 2019",Decreased interferon response in chickens,H5N1
22,"Kuo R. et al., 2009",Increased virulence in mice,H5N1
22,"Spesock A. et al., 2011",Increased virulence in mice,H5N1
22,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
23,"Imai H. et al., 2010",Decreased antiviral response in ferrets,H5N1
23,"Suttie A. et al., 2019",Decreased antiviral response in ferrets,H5N1
24,"Imai H. et al., 2010",Decreased antiviral response in ferrets,H5N1
24,"Suttie A. et al., 2019",Decreased antiviral response in ferrets,H5N1
25,"Kanrai P. et al., 2016",Enhanced replication in mammalian cells,H7N1 backbone with H5N1 NS
25,"Kanrai P. et al., 2016",Enhanced pathogenicity in mice,H7N1 backbone with H5N1 NS
25,"Suttie A. et al., 2019",Enhanced replication in mammalian cells,H7N1 backbone with H5N1 NS
25,"Suttie A. et al., 2019",Enhanced pathogenicity in mice,H7N1 backbone with H5N1 NS
26,"Trapp S. et al., 2018",Decreased replication in mammalian cells,H7N1
26,"Trapp S. et al., 2018",Decreased replication in avian cells,H7N1
26,"Suttie A. et al., 2019",Decreased replication in mammalian cells,H7N1
26,"Suttie A. et al., 2019",Decreased replication in avian cells,H7N1
27,"Li J. et al., 2018",Enhanced replication in mammalian cells,H5N1
27,"Li J. et al., 2018",Decreased interferon response,H5N1
27,"Suttie A. et al., 2019",Enhanced replication in mammalian cells,H5N1
27,"Suttie A. et al., 2019",Decreased interferon response,H5N1
28,"Reuther P. et al., 2014",Increased polymerase activity in mammalian cells,H5N1
28,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H5N1
29,"Reuther P. et al., 2014",Increased polymerase activity in mammalian cells,H5N1
29,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H5N1
30,"Zhu W. et al., 2015",Increased polymerase activity in mammalian cells,H7N9
30,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H7N9
31,"Chen L. et al., 2017",Decreased polymerase activity in mammalian cells,H5N1
31,"Suttie A. et al., 2019",Decreased polymerase activity in mammalian cells,H5N1
32,"Tada T. et al., 2011b",Increased virulence in chickens,H5N1
32,"Tada T. et al., 2011",Increased virulence in chickens,H5N1
32,"Suttie A. et al., 2019",Increased virulence in chickens,H5N1
33,"Tada T. et al., 2011b",Increased polymerase activity in chickens (but not ducks),H5N1
33,"Tada T. et al., 2011b",Increased virulence in chickens,H5N1
33,"Tada T. et al., 2011b",Increased replication in chickens (but not ducks),H5N1
33,"Tada T. et al., 2011",Increased polymerase activity in chickens (but not ducks),H5N1
33,"Tada T. et al., 2011",Increased virulence in chickens,H5N1
33,"Tada T. et al., 2011",Increased replication in chickens (but not ducks),H5N1
33,"Suttie A. et al., 2019",Increased polymerase activity in chickens (but not ducks),H5N1
33,"Suttie A. et al., 2019",Increased virulence in chickens,H5N1
33,"Suttie A. et al., 2019",Increased replication in chickens (but not ducks),H5N1
34,"Wasilenko J. et al., 2009",Increased replication in avian cells,H5N1
34,"Wasilenko J. et al., 2009",Increased virulence in chickens,H5N1
34,"Wasilenko J. et al., 2009",Enhanced interferon response,H5N1
34,"Suttie A. et al., 2019",Increased replication in avian cells,H5N1
34,"Suttie A. et al., 2019",Increased virulence in chickens,H5N1
34,"Suttie A. et al., 2019",Enhanced interferon response,H5N1
35,"Chen L. et al., 2017",Decreased polymerase activity in mammalian cells,H5N1
35,"Suttie A. et al., 2019",Decreased polymerase activity in mammalian cells,H5N1
36,"Zhu W. et al., 2015",Increased polymerase activity in mammalian cells,H7N9
36,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H7N9
37,"Chen L. et al., 2017",Increased polymerase activity in mammalian cells,H5N1
37,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H5N1
38,"Chen L. et al., 2017",Increased polymerase activity in mammalian cells,H5N1
38,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H5N1
39,"Gabriel G. et al., 2005",Increased polymerase activity in mammalian cells,H7N7
39,"Gabriel G. et al., 2005",Increased replication in mammalian cells,H7N7
39,"Gabriel G. et al., 2008",Increased polymerase activity in mammalian cells,H7N7
39,"Gabriel G. et al., 2008",Increased replication in mammalian cells,H7N7
39,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H7N7
39,"Suttie A. et al., 2019",Increased replication in mammalian cells,H7N7
40,"Sang X. et al., 2015b",Increased polymerase activity in mammalian cells,H9N2
40,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H9N2
41,"Chen L. et al., 2017",Increased virulence in mice,H5N1
41,"Chen L. et al., 2017",Increased polymerase activity in mammalian cells,H5N1
41,"Chen L. et al., 2017",Increased replication in mammalian cells,H5N1
41,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
41,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H5N1
41,"Suttie A. et al., 2019",Increased replication in mammalian cells,H5N1
42,"Kim J. et al., 2010",Increased virulence in mice,H5N1
42,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
43,"Kim J. et al., 2010",Increased virulence in mice,H5N1
43,"Graef K. et al., 2010",Increased virulence in mice,H5N1
43,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
44,"Zhao D. et al., 2015",Increased virulence in mice,H5N1 backbone with H1N1 NS
44,"Suttie A. et al., 2019",Increased virulence in mice,H5N1 backbone with H1N1 NS
45,"Li J. et al., 2011",Decreased pathogenicity in mice,H5N1
45,"Suttie A. et al., 2019",Decreased pathogenicity in mice,H5N1
47,"Xu G. et al., 2020",Increased virulence in mice,H4N6
47,"Xu G. et al., 2020",Increased polymerase activity in mammalian cells,H4N6
47,"Xu G. et al., 2020",Increased replication in mammalian cells,H4N6
47,"Suttie A. et al., 2019",Increased virulence in mice,H4N6
47,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H4N6
47,"Suttie A. et al., 2019",Increased replication in mammalian cells,H4N6
48,"Taft A. et al., 2015",Increased virulence in mice,H5N1
48,"Taft A. et al., 2015",Increased polymerase activity in mammalian cells,H5N1
48,"Taft A. et al., 2015",Increased polymerase activity in avian cells,H5N1
48,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
48,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H5N1
48,"Suttie A. et al., 2019",Increased polymerase activity in avian cells,H5N1
49,"Kim J. et al., 2010",Increased virulence in mice,H5N1
49,"Suttie A. et al., 2019",Increased virulence in mice,H5N1
50,"Zhang J. et al., 2018",Increased polymerase activity in mammalian cells,H9N2
50,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H9N2
51,"Manzoor R. et al., 2009",Increased polymerase activity in mammalian cells,H5N1 backbone with pH1N1 PB2
51,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H5N1 backbone with pH1N1 PB2
53,"Gao W. et al., 2019",Increased virulence in mice,H9N2
53,"Gao W. et al., 2019",Increased polymerase activity in mammalian cells,H9N2
53,"Suttie A. et al., 2019",Increased virulence in mice,H9N2
53,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H9N2
54,"DesRochers B. et al., 2016",Decreased virulence in mice,H7N3
54,"Suttie A. et al., 2019",Decreased virulence in mice,H7N3
56,"Hu M. et al., 2017b",Increased polymerase activity in mammalian cells,H7N9
56,"Hu M. et al., 2017b",Increased replication in mammalian cells,H7N9
56,"Suttie A. et al., 2019",Increased polymerase activity in mammalian cells,H7N9
56,"Suttie A. et al., 2019",Increased replication in mammalian cells,H7N9
57,"Liu Y. et al., 2013",Decreased polymerase activity in mice,H5N1
